Company,Rating,Good Review,Bad Review,Industry,HQ,Total locations
Diverse Lynx,3.4,Not Available,Not Available,IT Services & Consulting,Noida,20
Sumitomo Chemical,4.0,"Work Life Balance, Job Security, Company Culture",Promotions,Chemicals,Bhavnagar,83
VIT University,4.1,Not Available,Not Available,Education & Training,Vellore,16
Bharat Rasayan,3.9,Not Available,Not Available,Agro Chemicals,Bharuch,21
Healthcare At Home,3.8,Work Life Balance,Promotions,Healthcare,Mumbai,36
Vidal Health Tpa,3.3,Not Available,Not Available,Insurance,Bengaluru,42
Sedemac Mechatronics,3.9,"Company Culture, Work Life Balance",Promotions,Emerging Technologies,Pune,8
Jeeves Consumer Services,3.5,Not Available,Not Available,Consumer Electronics & Appliances,Bengaluru,62
XL Health,4.2,"Job Security, Company Culture, Salary",Promotions,Healthcare,Bengaluru,7
Acme Generics LLP,3.3,Not Available,Not Available,Pharma,Baddi,25
Dynacons Systems & Solutions,3.6,Not Available,Not Available,IT Services & Consulting,Mumbai,75
Sangeetha Mobile,3.6,Not Available,Not Available,Retail,Bengaluru,85
Everest Spices,3.8,Not Available,Not Available,FMCG,Mumbai,77
Watertec India,3.7,Salary,"Promotions, Job Security, Company Culture",Building Material,Coimbatore,77
US Tech Solutions,3.6,Work Life Balance,"Job Security, Promotions, Skill Development",Recruitment,Noida,14
Elentec Power India (EPI) Pvt. Ltd.,3.9,"Company Culture, Work Life Balance, Work Satisfaction",Promotions,IT Services & Consulting,Noida,20
IPE Global,3.8,"Work Life Balance, Work Satisfaction","Job Security, Promotions",Management Consulting,New Delhi,98
Ryan,3.9,"Job Security, Company Culture, Work Life Balance",Promotions,Accounting & Auditing,Hyderabad,7
GE Aerospace,4.1,"Company Culture, Job Security, Skill Development","Promotions, Salary",Defence & Aerospace,Pune,13
Moolchand Hospital,4.1,Not Available,Not Available,Healthcare,New Delhi,11
Sleek International,3.5,Job Security,"Promotions, Work Satisfaction, Salary",Furniture & Furnishing,Mumbai,84
World Vision,4.3,Not Available,Not Available,Non-Profit,Chennai,100
NTT Global Data Centers and Cloud Infrastructure,3.9,"Work Life Balance, Skill Development","Promotions, Salary",IT Services & Consulting,Mumbai,18
Transact Global,4.6,Not Available,Not Available,BPO,Bengaluru,3
Jade Global,3.4,Not Available,Not Available,IT Services & Consulting,Pune,9
MSCI,3.6,Salary,"Promotions, Job Security, Work Satisfaction",Financial Services,Mumbai,12
Grey Orange,3.1,Not Available,Not Available,Software Product,Gurugram,11
AgreeYa Solutions,3.2,Not Available,Not Available,IT Services & Consulting,Noida,11
Intelliswift - An LTTS Company,3.3,Not Available,Not Available,IT Services & Consulting,Bengaluru,11
TrueBlue,3.5,Work Life Balance,"Promotions, Job Security, Skill Development",Recruitment,Gurugram,8
Phenom,3.3,Not Available,Not Available,Software Product,Hyderabad,6
OodlesTechnologies,3.3,Not Available,Not Available,IT Services & Consulting,Gurugram,12
Navi Technologies,3.1,Not Available,Not Available,FinTech,Bengaluru,19
Smartworks,3.3,Not Available,Not Available,Real Estate,Bengaluru,19
Cooper Corporation,3.9,"Skill Development, Work Life Balance",Promotions,Auto Components,Satara,15
Duroshox,4.1,Not Available,Not Available,Engineering & Construction,Pune,4
Grand Hyatt,4.3,Not Available,Not Available,Hospitality,Mumbai,31
HL Mando,4.0,"Company Culture, Job Security, Skill Development",Promotions,Auto Components,Chennai,24
Mobileum,3.2,Not Available,Not Available,Software Product,Bengaluru,11
Servion Global Solutions,3.0,Not Available,Not Available,IT Services & Consulting,Chennai,15
Polybond India,3.7,Not Available,Not Available,Auto Components,Pune,15
SRM University,3.5,Not Available,Not Available,Education & Training,Chennai,28
Neuberg Diagnostics,3.4,Not Available,Not Available,Healthcare,Chennai,54
G. D. Foods MFG (TOPS),3.8,Not Available,Not Available,Food Processing,New Delhi,54
S2 Infotech,3.5,Not Available,Not Available,Recruitment,Mumbai,71
